"Question","Answer","Category"
"How do I apply for the Blue Line Charity Program?","<p>To apply for the Blue Line Charity Program, the charity must <a href=""https://raceroster.com/events/2026/113225/2026-akron-marathon-blue-line-charity-partner-application"">fill out the application</a>.</p>","Charity Program"
"Is there a cost involved in this program?","<p>There is no cost to the charity to participate in the Blue Line Charity Program.</p>","Charity Program"
"What is the benefit of being a Blue Line Charity Partner?","<p>The Akron Marathon offers a free, turnkey fundraising opportunity for your organization. Your organization can raise funds without the time and cost it takes to plan a fundraising event.</p>","Charity Program"
"My organization is not a 501(c)3, can we still participate?","<p>Organizations must be a 501(c)3 to participate in the Blue Line Charity Program.</p>","Charity Program"
"When is my application due?","<p>There is no specific due date; however, the sooner you register, the sooner you can begin fundraising.</p>","Charity Program"
"Is the Blue Line Charity Program a part of all Akron Marathon Race Series events?","<p>No. The Blue Line Charity Program is only part of the flagship FirstEnergy Akron Marathon, Half Marathon &amp; Team Relay event held at the end of September annually.</p>","Charity Program"
"When will I find out if my charity has been accepted?","<p>Applications will be reviewed by the Akron Marathon. If your organization is accepted into the Blue Line Charity Program, Katie Riley will reach out with next steps for setting up your fundraising page and your organization's payment profile.</p>","Charity Program"
"Is there a limit to the number of charities accepted into the program?","<p>No. All local nonprofit organizations are welcome to apply to use the race as a fundraising opportunity.</p>","Charity Program"
"How will the charities be chosen?","<p>Local nonprofit organizations can apply to fundraise in conjunction with the FirstEnergy Akron Marathon, Half Marathon &amp; Team Relay. Charities must have 501(c)3 status with the IRS to participate. The Akron Marathon Charitable Corporation reserves the right to review and approve all charity applicants and may decline participation at its discretion to ensure alignment with the values and mission of the Akron Marathon.</p><p>Inclusion in the Blue Line Charity Program does not reflect an endorsement by the Akron Marathon of any participating charity's mission, beliefs, or values. The program is a platform to support runner-directed fundraising for qualified nonprofit organizations.</p>","Charity Program"
"How will the Akron Marathon promote their Charity Partners?","<p>The Akron Marathon will promote Charity Partners on the <a href=""https://www.akronmarathon.org/"">Akron Marathon website</a>, on Akron Marathon social media channels, through emails to runners, and in printed materials distributed race weekend.</p>","Charity Program"
"How do I get started?","<p>Once you have completed the <a href=""https://raceroster.com/events/2026/113225/2026-akron-marathon-blue-line-charity-partner-application"">application</a> for your organization, you will be sent instructions on how to set up your organization's fundraising page on Race Roster. <a href=""https://support.raceroster.com/hc/en-us/sections/360007983571-Resources"">View Race Roster resources</a> for help setting up your fundraiser.</p>","Charity Program"
"What is the best way to recruit runners to fundraise on our behalf?","<p>A great place to start is with your existing support system. Encourage your board members to run and fundraise on your behalf, and have them encourage their friends and family to do the same. Reach out to your loyal supporters and encourage them to run the race and fundraise for you.</p>","Charity Program"
"When do all my runners have to be registered by?","<p>There is no specific date that charity runners must be registered. The sooner your runners register, the sooner they can begin fundraising for you.</p>","Charity Program"
"Will registration spots be held for Blue Line Charity Program participants?","<p>No. Registration spots cannot be held.</p>","Charity Program"
