"Question","Answer","Category"
"What runner premiums are included for the Akron Marathon races?","<ul><li><strong>Marathon:</strong> ASICS long-sleeve triblend shirt, socks, finisher medal, and post-race recovery food and beer for participants age 21+.</li><li><strong>Half Marathon:</strong> ASICS short-sleeve triblend shirt, socks, finisher medal, and post-race recovery food and beer for participants age 21+.</li><li><strong>Team Relay:</strong> ASICS short-sleeve triblend shirt, finisher medal, and post-race recovery food and beer for participants age 21+.</li></ul>","Akron Marathon"
"What are the minimum age requirements?","<p>Minimum ages are 16 for the Marathon, 14 for the Half Marathon, and 12 for the Team Relay.</p>","Akron Marathon"
"Where and when does the race start?","<p>The Marathon, Half Marathon, and Team Relay start at 7:00 a.m. at 1 S High St, Akron, OH 44308. The Wheelchair Division starts at 6:59 a.m.</p>","Akron Marathon"
"Where should participants park?","<p>Participants are encouraged to park downtown so their vehicle is accessible after the race. Free parking is available in downtown decks and lots.</p><p>Course-related road closures begin around 6:50 a.m., and some lots or decks—especially near High Street and Broadway—may have delayed exits. Final parking information and maps are sent about two weeks before race day.</p>","Akron Marathon"
"Is the Akron Marathon a Boston Marathon qualifier?","<p>Yes. The course is USATF certified and can be used to qualify for the Boston Marathon. Boston qualifying standards are available from the <a href=""https://www.baa.org/races/boston-marathon/enter/qualify"">Boston Athletic Association</a>.</p>","Akron Marathon"
"Will I receive more information after I register?","<p>Yes. Race organizers send preparation emails before race day, including final instructions approximately two weeks before the event. Use your primary email address when registering.</p>","Akron Marathon"
"Where and when is packet pickup?","<p>Packet pickup is Friday, September 25, from 11:00 a.m. to 8:00 p.m. at the John S. Knight Center, 77 E Mill Street, Akron, OH 44308.</p><p><strong>There is no race-day packet pickup.</strong></p>","Akron Marathon"
"What if I cannot pick up my own packet?","<p>Participants are encouraged to pick up their own packet, but another person may pick it up on their behalf. That person must be able to verify the participant's registration details, including name, sex, age, and emergency contact information.</p>","Akron Marathon"
"What is the typical race-day temperature?","<p>Race-day temperatures typically range from about 52&deg;F to 66&deg;F and are rarely below 42&deg;F or above 77&deg;F.</p>","Akron Marathon"
"Will I receive an email confirmation after registering?","<p>Yes. Race Roster sends an immediate confirmation email after online registration. Use your primary email address when registering.</p>","Akron Marathon"
"Can I register on race day?","<p>No. For the 2026 event, online registration closes Sunday, September 20, 2026.</p>","Akron Marathon"
"How can I confirm whether I am registered?","<p>Use the <a href=""https://raceroster.com/events/2026/113171/2026-firstenergy-akron-marathon-half-marathon-and-team-relay/confirm"">Race Roster confirmation page</a> for the 2026 FirstEnergy Akron Marathon, Half Marathon &amp; Team Relay.</p>","Akron Marathon"
