"Question","Answer","Category"
"How do I register my company for the Corporate Challenge Program?","<p>To register, complete the <a href=""https://raceroster.com/events/2026/113227/2026-akron-marathon-corporate-challenge-program-application"">Corporate Challenge Program Application</a>.</p>","Corporate Challenge"
"Is there a cost involved in this program?","<p>Race registration fees apply, but there is no additional cost for a company to participate in the Corporate Challenge Program.</p>","Corporate Challenge"
"Will our runners get a discounted race entry as part of the program?","<p>No. There is no registration discount for Corporate Challenge Program participants. However, some companies pay or reimburse race entry fees as part of their Corporate Wellness Program. Prior to registering, check to see if your company offers this benefit. Early registration receives the best rates.</p>","Corporate Challenge"
"Can my company cover all or part of the registration fees?","<p>Yes. Contact Sammi Riggs to have a registration code set up for your employees. The code can cover all or part of the registration cost, and your company will then be invoiced for those registrations.</p>","Corporate Challenge"
"Is there a limit to the number of corporations accepted into the program?","<p>No. The Corporate Challenge Program is open to all interested companies.</p>","Corporate Challenge"
"Can we recruit friends and family members to participate for our company?","<p>No. Recruitment should be limited to your company team members only.</p>","Corporate Challenge"
"Do all race participants have to be runners?","<p>No. Runners, walkers, and run/walkers are all welcome to participate as long as they can complete the race by the applicable course closure time. Course closure times vary by event.</p>","Corporate Challenge"
"Is the Corporate Challenge available for all Akron Marathon Race Series events?","<p>Yes. All events in the Akron Marathon Race Series are open to Corporate Challenge participants.</p><ul><li>Acme Fresh Market Foundation 8K &amp; 1 Mile &ndash; June 27, 2026</li><li>Goodyear Half Marathon &amp; 10K &ndash; August 8, 2026</li><li>FirstEnergy Akron Marathon, Half Marathon &amp; Team Relay &ndash; September 26, 2026</li></ul>","Corporate Challenge"
"Will the Akron Marathon promote participating corporations?","<p>Yes. Companies participating in the Corporate Challenge Program will be listed on the Akron Marathon website, and there will be a post-race announcement of Corporate Challenge Program award winners.</p>","Corporate Challenge"
"Are there different divisions for small and large companies?","<p>Yes. Companies competing in the Corporate Challenge select their company size when applying for the program. Awards are based on company size and number of participants.</p>","Corporate Challenge"
"Can the same people volunteer one day and race the next day?","<p>Absolutely. The Akron Marathon needs more than 1,500 volunteers throughout the Race Series, with opportunities on Thursday, Friday, and Saturday. Visit <a href=""https://www.akronmarathon.org/volunteer/"">Akron Marathon volunteer opportunities</a> for available positions and job descriptions.</p>","Corporate Challenge"
"When will the winner be announced?","<p>The winner of the Corporate Challenge Program will be announced in October.</p>","Corporate Challenge"
"What is the prize for winning?","<p>Companies with the highest number of participants in their division will receive a custom award. All employees must have a finishing time for their participation to be included in the final results.</p>","Corporate Challenge"
"Are there any other awards?","<p>Yes. Companies also compete for the following awards:</p><ul><li>Fastest Corporate Relay Team Award &ndash; men&rsquo;s, women&rsquo;s, and mixed</li><li>Spirit Award</li><li>Extra Mile Awards<ul><li>Most dollars raised for charity through Akron Marathon&rsquo;s charity partner platform</li><li>Most volunteers recruited through Akron Marathon&rsquo;s volunteer platform</li></ul></li></ul>","Corporate Challenge"
"What’s the best way to recruit participants?","<ul><li>Complete the Corporate Challenge Program application to become an official participant.</li><li>If your company plans to subsidize employee race entry fees, contact the Akron Marathon to request a registration code.</li><li>Announce your involvement through a corporate newsletter or internal post. Explain that the events are open to runners and walkers of varying fitness levels, and include registration details, employee program benefits, and any company-specific perks.</li><li>When employees register, they should select your organization from the Corporate Challenge Program drop-down on the registration page. Only registered companies appear in this list.</li><li>If runners already registered without selecting your company, contact the Akron Marathon so their registrations can be updated.</li><li>Consider incorporating participation in the Akron Marathon Race Series into your Corporate Wellness Program.</li></ul>","Corporate Challenge"
"When do I need to register my company by?","<p>Registration for the Corporate Challenge Program is open and closes September 1.</p>","Corporate Challenge"
"When does race registration open?","<p>Race registration opens Wednesday, January 7, 2026.</p>","Corporate Challenge"
"When do all of my employees have to be registered by?","<p>Registration by April 1 is encouraged so employees receive training information and tips. However, registration closes one week before each event.</p>","Corporate Challenge"
"Will registration spots be held for Corporate Challenge Program participants?","<p>No. Registration spots cannot be held.</p>","Corporate Challenge"
"Can we promote our partnership on social media?","<p>Yes. When promoting the Corporate Challenge on social media, tag Akron Marathon and use <strong>#RunAkronCorporateChallenge</strong>. Akron Marathon is active on <a href=""https://www.instagram.com/akronmarathon/"">Instagram</a>, <a href=""https://www.facebook.com/runAkron/"">Facebook</a>, <a href=""https://www.youtube.com/"">YouTube</a>, <a href=""https://twitter.com/AkronMarathon"">X</a>, and <a href=""https://www.linkedin.com/company/akron-marathon-charitable-corporation"">LinkedIn</a>.</p>","Corporate Challenge"
"How do my volunteers sign up to volunteer for my organization?","<p>Volunteers can visit <a href=""https://www.akronmarathon.org/volunteer/"">Akron Marathon volunteer opportunities</a> for available positions and job descriptions. When signing up, volunteers should select your organization from the Corporate Challenge Program drop-down in volunteer registration. If they already registered without selecting your organization, contact the Akron Marathon so their registration can be updated.</p>","Corporate Challenge"
"Is there a specific fundraising platform that companies and runners should use?","<p>Yes. Race Roster, the Akron Marathon registration platform, automatically creates a fundraising page for each runner. Runners can customize their page and choose a charity from the available Blue Line Charity Partners.</p>","Corporate Challenge"
"How does my company choose a charity to fundraise for?","<p>Companies may choose any charity they would like to support or allow runners to choose individually. However, the Akron Marathon encourages Corporate Challenge participants to select one of the organizations in the Blue Line Charity Program. A list of current Blue Line Charity Partners is available on the <a href=""https://www.akronmarathon.org/charity-partners/"">Akron Marathon website</a>.</p>","Corporate Challenge"
"Does the Akron Marathon keep any of the money my organization raises?","<p>No. All funds raised go directly to the selected charity through Race Roster.</p>","Corporate Challenge"
"Do my runners have a fundraising requirement?","<p>No. The Akron Marathon does not require fundraising. The decision to fundraise is completely up to the company and/or participant.</p>","Corporate Challenge"
"How should my runners fundraise?","<p>Using the Akron Marathon&rsquo;s Race Roster fundraising platform, participants can email potential donors, post to social media, and track the funds they have raised directly from their fundraising page.</p>","Corporate Challenge"
